0	nn.SpatialConvolution	(64, 3, 7, 7)
1	nn.SpatialBatchNormalization	(64,)
2	nn.ReLU	
3	nn.Sequential	
4	    nn.ConcatTable	
5	        nn.Sequential	
6	            nn.SpatialBatchNormalization	(64,)
7	            nn.ReLU	
8	            nn.SpatialConvolution	(64, 64, 1, 1)
9	            nn.SpatialBatchNormalization	(64,)
10	            nn.ReLU	
11	            nn.SpatialConvolution	(64, 64, 3, 3)
12	            nn.SpatialBatchNormalization	(64,)
13	            nn.ReLU	
14	            nn.SpatialConvolution	(128, 64, 1, 1)
15	        nn.Sequential	
16	            nn.SpatialConvolution	(128, 64, 1, 1)
17	    nn.CAddTable	
18	nn.SpatialMaxPooling	
19	nn.Sequential	
20	    nn.ConcatTable	
21	        nn.Sequential	
22	            nn.SpatialBatchNormalization	(128,)
23	            nn.ReLU	
24	            nn.SpatialConvolution	(64, 128, 1, 1)
25	            nn.SpatialBatchNormalization	(64,)
26	            nn.ReLU	
27	            nn.SpatialConvolution	(64, 64, 3, 3)
28	            nn.SpatialBatchNormalization	(64,)
29	            nn.ReLU	
30	            nn.SpatialConvolution	(128, 64, 1, 1)
31	        nn.Identity	
32	    nn.CAddTable	
33	nn.Sequential	
34	    nn.ConcatTable	
35	        nn.Sequential	
36	            nn.SpatialBatchNormalization	(128,)
37	            nn.ReLU	
38	            nn.SpatialConvolution	(128, 128, 1, 1)
39	            nn.SpatialBatchNormalization	(128,)
40	            nn.ReLU	
41	            nn.SpatialConvolution	(128, 128, 3, 3)
42	            nn.SpatialBatchNormalization	(128,)
43	            nn.ReLU	
44	            nn.SpatialConvolution	(256, 128, 1, 1)
45	        nn.Sequential	
46	            nn.SpatialConvolution	(256, 128, 1, 1)
47	    nn.CAddTable	
48	nn.ConcatTable	
49	    nn.Identity	
50	    nn.Sequential	
51	        nn.ConcatTable	
52	            nn.Sequential	
53	                nn.Sequential	
54	                    nn.ConcatTable	
55	                        nn.Sequential	
56	                            nn.SpatialBatchNormalization	(256,)
57	                            nn.ReLU	
58	                            nn.SpatialConvolution	(128, 256, 1, 1)
59	                            nn.SpatialBatchNormalization	(128,)
60	                            nn.ReLU	
61	                            nn.SpatialConvolution	(128, 128, 3, 3)
62	                            nn.SpatialBatchNormalization	(128,)
63	                            nn.ReLU	
64	                            nn.SpatialConvolution	(256, 128, 1, 1)
65	                        nn.Identity	
66	                    nn.CAddTable	
67	                nn.Sequential	
68	                    nn.ConcatTable	
69	                        nn.Sequential	
70	                            nn.SpatialBatchNormalization	(256,)
71	                            nn.ReLU	
72	                            nn.SpatialConvolution	(128, 256, 1, 1)
73	                            nn.SpatialBatchNormalization	(128,)
74	                            nn.ReLU	
75	                            nn.SpatialConvolution	(128, 128, 3, 3)
76	                            nn.SpatialBatchNormalization	(128,)
77	                            nn.ReLU	
78	                            nn.SpatialConvolution	(256, 128, 1, 1)
79	                        nn.Identity	
80	                    nn.CAddTable	
81	                nn.Sequential	
82	                    nn.ConcatTable	
83	                        nn.Sequential	
84	                            nn.SpatialBatchNormalization	(256,)
85	                            nn.ReLU	
86	                            nn.SpatialConvolution	(128, 256, 1, 1)
87	                            nn.SpatialBatchNormalization	(128,)
88	                            nn.ReLU	
89	                            nn.SpatialConvolution	(128, 128, 3, 3)
90	                            nn.SpatialBatchNormalization	(128,)
91	                            nn.ReLU	
92	                            nn.SpatialConvolution	(256, 128, 1, 1)
93	                        nn.Identity	
94	                    nn.CAddTable	
95	                nn.Sequential	
96	                    nn.ConcatTable	
97	                        nn.Sequential	
98	                            nn.Sequential	
99	                                nn.ConcatTable	
100	                                    nn.Sequential	
101	                                        nn.SpatialBatchNormalization	(256,)
102	                                        nn.ReLU	
103	                                        nn.SpatialConvolution	(128, 256, 1, 1)
104	                                        nn.SpatialBatchNormalization	(128,)
105	                                        nn.ReLU	
106	                                        nn.SpatialConvolution	(128, 128, 3, 3)
107	                                        nn.SpatialBatchNormalization	(128,)
108	                                        nn.ReLU	
109	                                        nn.SpatialConvolution	(256, 128, 1, 1)
110	                                    nn.Identity	
111	                                nn.CAddTable	
112	                            nn.Sequential	
113	                                nn.ConcatTable	
114	                                    nn.Sequential	
115	                                        nn.SpatialBatchNormalization	(256,)
116	                                        nn.ReLU	
117	                                        nn.SpatialConvolution	(128, 256, 1, 1)
118	                                        nn.SpatialBatchNormalization	(128,)
119	                                        nn.ReLU	
120	                                        nn.SpatialConvolution	(128, 128, 3, 3)
121	                                        nn.SpatialBatchNormalization	(128,)
122	                                        nn.ReLU	
123	                                        nn.SpatialConvolution	(256, 128, 1, 1)
124	                                    nn.Identity	
125	                                nn.CAddTable	
126	                            nn.Sequential	
127	                                nn.ConcatTable	
128	                                    nn.Sequential	
129	                                        nn.SpatialBatchNormalization	(256,)
130	                                        nn.ReLU	
131	                                        nn.SpatialConvolution	(128, 256, 1, 1)
132	                                        nn.SpatialBatchNormalization	(128,)
133	                                        nn.ReLU	
134	                                        nn.SpatialConvolution	(128, 128, 3, 3)
135	                                        nn.SpatialBatchNormalization	(128,)
136	                                        nn.ReLU	
137	                                        nn.SpatialConvolution	(256, 128, 1, 1)
138	                                    nn.Identity	
139	                                nn.CAddTable	
140	                            nn.Sequential	
141	                                nn.ConcatTable	
142	                                    nn.Sequential	
143	                                        nn.Sequential	
144	                                            nn.ConcatTable	
145	                                                nn.Sequential	
146	                                                    nn.SpatialBatchNormalization	(256,)
147	                                                    nn.ReLU	
148	                                                    nn.SpatialConvolution	(128, 256, 1, 1)
149	                                                    nn.SpatialBatchNormalization	(128,)
150	                                                    nn.ReLU	
151	                                                    nn.SpatialConvolution	(128, 128, 3, 3)
152	                                                    nn.SpatialBatchNormalization	(128,)
153	                                                    nn.ReLU	
154	                                                    nn.SpatialConvolution	(256, 128, 1, 1)
155	                                                nn.Identity	
156	                                            nn.CAddTable	
157	                                        nn.Sequential	
158	                                            nn.ConcatTable	
159	                                                nn.Sequential	
160	                                                    nn.SpatialBatchNormalization	(256,)
161	                                                    nn.ReLU	
162	                                                    nn.SpatialConvolution	(128, 256, 1, 1)
163	                                                    nn.SpatialBatchNormalization	(128,)
164	                                                    nn.ReLU	
165	                                                    nn.SpatialConvolution	(128, 128, 3, 3)
166	                                                    nn.SpatialBatchNormalization	(128,)
167	                                                    nn.ReLU	
168	                                                    nn.SpatialConvolution	(256, 128, 1, 1)
169	                                                nn.Identity	
170	                                            nn.CAddTable	
171	                                        nn.Sequential	
172	                                            nn.ConcatTable	
173	                                                nn.Sequential	
174	                                                    nn.SpatialBatchNormalization	(256,)
175	                                                    nn.ReLU	
176	                                                    nn.SpatialConvolution	(128, 256, 1, 1)
177	                                                    nn.SpatialBatchNormalization	(128,)
178	                                                    nn.ReLU	
179	                                                    nn.SpatialConvolution	(128, 128, 3, 3)
180	                                                    nn.SpatialBatchNormalization	(128,)
181	                                                    nn.ReLU	
182	                                                    nn.SpatialConvolution	(256, 128, 1, 1)
183	                                                nn.Identity	
184	                                            nn.CAddTable	
185	                                        nn.Sequential	
186	                                            nn.ConcatTable	
187	                                                nn.Sequential	
188	                                                    nn.Sequential	
189	                                                        nn.ConcatTable	
190	                                                            nn.Sequential	
191	                                                                nn.SpatialBatchNormalization	(256,)
192	                                                                nn.ReLU	
193	                                                                nn.SpatialConvolution	(128, 256, 1, 1)
194	                                                                nn.SpatialBatchNormalization	(128,)
195	                                                                nn.ReLU	
196	                                                                nn.SpatialConvolution	(128, 128, 3, 3)
197	                                                                nn.SpatialBatchNormalization	(128,)
198	                                                                nn.ReLU	
199	                                                                nn.SpatialConvolution	(256, 128, 1, 1)
200	                                                            nn.Identity	
201	                                                        nn.CAddTable	
202	                                                    nn.Sequential	
203	                                                        nn.ConcatTable	
204	                                                            nn.Sequential	
205	                                                                nn.SpatialBatchNormalization	(256,)
206	                                                                nn.ReLU	
207	                                                                nn.SpatialConvolution	(128, 256, 1, 1)
208	                                                                nn.SpatialBatchNormalization	(128,)
209	                                                                nn.ReLU	
210	                                                                nn.SpatialConvolution	(128, 128, 3, 3)
211	                                                                nn.SpatialBatchNormalization	(128,)
212	                                                                nn.ReLU	
213	                                                                nn.SpatialConvolution	(256, 128, 1, 1)
214	                                                            nn.Identity	
215	                                                        nn.CAddTable	
216	                                                    nn.Sequential	
217	                                                        nn.ConcatTable	
218	                                                            nn.Sequential	
219	                                                                nn.SpatialBatchNormalization	(256,)
220	                                                                nn.ReLU	
221	                                                                nn.SpatialConvolution	(128, 256, 1, 1)
222	                                                                nn.SpatialBatchNormalization	(128,)
223	                                                                nn.ReLU	
224	                                                                nn.SpatialConvolution	(128, 128, 3, 3)
225	                                                                nn.SpatialBatchNormalization	(128,)
226	                                                                nn.ReLU	
227	                                                                nn.SpatialConvolution	(256, 128, 1, 1)
228	                                                            nn.Identity	
229	                                                        nn.CAddTable	
230	                                                nn.Sequential	
231	                                                    nn.SpatialMaxPooling	
232	                                                    nn.Sequential	
233	                                                        nn.ConcatTable	
234	                                                            nn.Sequential	
235	                                                                nn.SpatialBatchNormalization	(256,)
236	                                                                nn.ReLU	
237	                                                                nn.SpatialConvolution	(128, 256, 1, 1)
238	                                                                nn.SpatialBatchNormalization	(128,)
239	                                                                nn.ReLU	
240	                                                                nn.SpatialConvolution	(128, 128, 3, 3)
241	                                                                nn.SpatialBatchNormalization	(128,)
242	                                                                nn.ReLU	
243	                                                                nn.SpatialConvolution	(256, 128, 1, 1)
244	                                                            nn.Identity	
245	                                                        nn.CAddTable	
246	                                                    nn.Sequential	
247	                                                        nn.ConcatTable	
248	                                                            nn.Sequential	
249	                                                                nn.SpatialBatchNormalization	(256,)
250	                                                                nn.ReLU	
251	                                                                nn.SpatialConvolution	(128, 256, 1, 1)
252	                                                                nn.SpatialBatchNormalization	(128,)
253	                                                                nn.ReLU	
254	                                                                nn.SpatialConvolution	(128, 128, 3, 3)
255	                                                                nn.SpatialBatchNormalization	(128,)
256	                                                                nn.ReLU	
257	                                                                nn.SpatialConvolution	(256, 128, 1, 1)
258	                                                            nn.Identity	
259	                                                        nn.CAddTable	
260	                                                    nn.Sequential	
261	                                                        nn.ConcatTable	
262	                                                            nn.Sequential	
263	                                                                nn.SpatialBatchNormalization	(256,)
264	                                                                nn.ReLU	
265	                                                                nn.SpatialConvolution	(128, 256, 1, 1)
266	                                                                nn.SpatialBatchNormalization	(128,)
267	                                                                nn.ReLU	
268	                                                                nn.SpatialConvolution	(128, 128, 3, 3)
269	                                                                nn.SpatialBatchNormalization	(128,)
270	                                                                nn.ReLU	
271	                                                                nn.SpatialConvolution	(256, 128, 1, 1)
272	                                                            nn.Identity	
273	                                                        nn.CAddTable	
274	                                                    nn.Sequential	
275	                                                        nn.ConcatTable	
276	                                                            nn.Sequential	
277	                                                                nn.SpatialBatchNormalization	(256,)
278	                                                                nn.ReLU	
279	                                                                nn.SpatialConvolution	(128, 256, 1, 1)
280	                                                                nn.SpatialBatchNormalization	(128,)
281	                                                                nn.ReLU	
282	                                                                nn.SpatialConvolution	(128, 128, 3, 3)
283	                                                                nn.SpatialBatchNormalization	(128,)
284	                                                                nn.ReLU	
285	                                                                nn.SpatialConvolution	(256, 128, 1, 1)
286	                                                            nn.Identity	
287	                                                        nn.CAddTable	
288	                                                    nn.Sequential	
289	                                                        nn.ConcatTable	
290	                                                            nn.Sequential	
291	                                                                nn.SpatialBatchNormalization	(256,)
292	                                                                nn.ReLU	
293	                                                                nn.SpatialConvolution	(128, 256, 1, 1)
294	                                                                nn.SpatialBatchNormalization	(128,)
295	                                                                nn.ReLU	
296	                                                                nn.SpatialConvolution	(128, 128, 3, 3)
297	                                                                nn.SpatialBatchNormalization	(128,)
298	                                                                nn.ReLU	
299	                                                                nn.SpatialConvolution	(256, 128, 1, 1)
300	                                                            nn.Identity	
301	                                                        nn.CAddTable	
302	                                                    nn.Sequential	
303	                                                        nn.ConcatTable	
304	                                                            nn.Sequential	
305	                                                                nn.SpatialBatchNormalization	(256,)
306	                                                                nn.ReLU	
307	                                                                nn.SpatialConvolution	(128, 256, 1, 1)
308	                                                                nn.SpatialBatchNormalization	(128,)
309	                                                                nn.ReLU	
310	                                                                nn.SpatialConvolution	(128, 128, 3, 3)
311	                                                                nn.SpatialBatchNormalization	(128,)
312	                                                                nn.ReLU	
313	                                                                nn.SpatialConvolution	(256, 128, 1, 1)
314	                                                            nn.Identity	
315	                                                        nn.CAddTable	
316	                                                    nn.Sequential	
317	                                                        nn.ConcatTable	
318	                                                            nn.Sequential	
319	                                                                nn.SpatialBatchNormalization	(256,)
320	                                                                nn.ReLU	
321	                                                                nn.SpatialConvolution	(128, 256, 1, 1)
322	                                                                nn.SpatialBatchNormalization	(128,)
323	                                                                nn.ReLU	
324	                                                                nn.SpatialConvolution	(128, 128, 3, 3)
325	                                                                nn.SpatialBatchNormalization	(128,)
326	                                                                nn.ReLU	
327	                                                                nn.SpatialConvolution	(256, 128, 1, 1)
328	                                                            nn.Identity	
329	                                                        nn.CAddTable	
330	                                                    nn.Sequential	
331	                                                        nn.ConcatTable	
332	                                                            nn.Sequential	
333	                                                                nn.SpatialBatchNormalization	(256,)
334	                                                                nn.ReLU	
335	                                                                nn.SpatialConvolution	(128, 256, 1, 1)
336	                                                                nn.SpatialBatchNormalization	(128,)
337	                                                                nn.ReLU	
338	                                                                nn.SpatialConvolution	(128, 128, 3, 3)
339	                                                                nn.SpatialBatchNormalization	(128,)
340	                                                                nn.ReLU	
341	                                                                nn.SpatialConvolution	(256, 128, 1, 1)
342	                                                            nn.Identity	
343	                                                        nn.CAddTable	
344	                                                    nn.Sequential	
345	                                                        nn.ConcatTable	
346	                                                            nn.Sequential	
347	                                                                nn.SpatialBatchNormalization	(256,)
348	                                                                nn.ReLU	
349	                                                                nn.SpatialConvolution	(128, 256, 1, 1)
350	                                                                nn.SpatialBatchNormalization	(128,)
351	                                                                nn.ReLU	
352	                                                                nn.SpatialConvolution	(128, 128, 3, 3)
353	                                                                nn.SpatialBatchNormalization	(128,)
354	                                                                nn.ReLU	
355	                                                                nn.SpatialConvolution	(256, 128, 1, 1)
356	                                                            nn.Identity	
357	                                                        nn.CAddTable	
358	                                                    nn.SpatialUpSamplingNearest	
359	                                            nn.CAddTable	
360	                                            nn.Sequential	
361	                                                nn.ConcatTable	
362	                                                    nn.Sequential	
363	                                                        nn.SpatialBatchNormalization	(256,)
364	                                                        nn.ReLU	
365	                                                        nn.SpatialConvolution	(128, 256, 1, 1)
366	                                                        nn.SpatialBatchNormalization	(128,)
367	                                                        nn.ReLU	
368	                                                        nn.SpatialConvolution	(128, 128, 3, 3)
369	                                                        nn.SpatialBatchNormalization	(128,)
370	                                                        nn.ReLU	
371	                                                        nn.SpatialConvolution	(256, 128, 1, 1)
372	                                                    nn.Identity	
373	                                                nn.CAddTable	
374	                                    nn.Sequential	
375	                                        nn.SpatialMaxPooling	
376	                                        nn.Sequential	
377	                                            nn.ConcatTable	
378	                                                nn.Sequential	
379	                                                    nn.SpatialBatchNormalization	(256,)
380	                                                    nn.ReLU	
381	                                                    nn.SpatialConvolution	(128, 256, 1, 1)
382	                                                    nn.SpatialBatchNormalization	(128,)
383	                                                    nn.ReLU	
384	                                                    nn.SpatialConvolution	(128, 128, 3, 3)
385	                                                    nn.SpatialBatchNormalization	(128,)
386	                                                    nn.ReLU	
387	                                                    nn.SpatialConvolution	(256, 128, 1, 1)
388	                                                nn.Identity	
389	                                            nn.CAddTable	
390	                                        nn.Sequential	
391	                                            nn.ConcatTable	
392	                                                nn.Sequential	
393	                                                    nn.SpatialBatchNormalization	(256,)
394	                                                    nn.ReLU	
395	                                                    nn.SpatialConvolution	(128, 256, 1, 1)
396	                                                    nn.SpatialBatchNormalization	(128,)
397	                                                    nn.ReLU	
398	                                                    nn.SpatialConvolution	(128, 128, 3, 3)
399	                                                    nn.SpatialBatchNormalization	(128,)
400	                                                    nn.ReLU	
401	                                                    nn.SpatialConvolution	(256, 128, 1, 1)
402	                                                nn.Identity	
403	                                            nn.CAddTable	
404	                                        nn.Sequential	
405	                                            nn.ConcatTable	
406	                                                nn.Sequential	
407	                                                    nn.SpatialBatchNormalization	(256,)
408	                                                    nn.ReLU	
409	                                                    nn.SpatialConvolution	(128, 256, 1, 1)
410	                                                    nn.SpatialBatchNormalization	(128,)
411	                                                    nn.ReLU	
412	                                                    nn.SpatialConvolution	(128, 128, 3, 3)
413	                                                    nn.SpatialBatchNormalization	(128,)
414	                                                    nn.ReLU	
415	                                                    nn.SpatialConvolution	(256, 128, 1, 1)
416	                                                nn.Identity	
417	                                            nn.CAddTable	
418	                                        nn.Sequential	
419	                                            nn.ConcatTable	
420	                                                nn.Sequential	
421	                                                    nn.SpatialBatchNormalization	(256,)
422	                                                    nn.ReLU	
423	                                                    nn.SpatialConvolution	(128, 256, 1, 1)
424	                                                    nn.SpatialBatchNormalization	(128,)
425	                                                    nn.ReLU	
426	                                                    nn.SpatialConvolution	(128, 128, 3, 3)
427	                                                    nn.SpatialBatchNormalization	(128,)
428	                                                    nn.ReLU	
429	                                                    nn.SpatialConvolution	(256, 128, 1, 1)
430	                                                nn.Identity	
431	                                            nn.CAddTable	
432	                                        nn.Sequential	
433	                                            nn.ConcatTable	
434	                                                nn.Sequential	
435	                                                    nn.SpatialBatchNormalization	(256,)
436	                                                    nn.ReLU	
437	                                                    nn.SpatialConvolution	(128, 256, 1, 1)
438	                                                    nn.SpatialBatchNormalization	(128,)
439	                                                    nn.ReLU	
440	                                                    nn.SpatialConvolution	(128, 128, 3, 3)
441	                                                    nn.SpatialBatchNormalization	(128,)
442	                                                    nn.ReLU	
443	                                                    nn.SpatialConvolution	(256, 128, 1, 1)
444	                                                nn.Identity	
445	                                            nn.CAddTable	
446	                                        nn.Sequential	
447	                                            nn.ConcatTable	
448	                                                nn.Sequential	
449	                                                    nn.SpatialBatchNormalization	(256,)
450	                                                    nn.ReLU	
451	                                                    nn.SpatialConvolution	(128, 256, 1, 1)
452	                                                    nn.SpatialBatchNormalization	(128,)
453	                                                    nn.ReLU	
454	                                                    nn.SpatialConvolution	(128, 128, 3, 3)
455	                                                    nn.SpatialBatchNormalization	(128,)
456	                                                    nn.ReLU	
457	                                                    nn.SpatialConvolution	(256, 128, 1, 1)
458	                                                nn.Identity	
459	                                            nn.CAddTable	
460	                                        nn.SpatialUpSamplingNearest	
461	                                nn.CAddTable	
462	                                nn.Sequential	
463	                                    nn.ConcatTable	
464	                                        nn.Sequential	
465	                                            nn.SpatialBatchNormalization	(256,)
466	                                            nn.ReLU	
467	                                            nn.SpatialConvolution	(128, 256, 1, 1)
468	                                            nn.SpatialBatchNormalization	(128,)
469	                                            nn.ReLU	
470	                                            nn.SpatialConvolution	(128, 128, 3, 3)
471	                                            nn.SpatialBatchNormalization	(128,)
472	                                            nn.ReLU	
473	                                            nn.SpatialConvolution	(256, 128, 1, 1)
474	                                        nn.Identity	
475	                                    nn.CAddTable	
476	                        nn.Sequential	
477	                            nn.SpatialMaxPooling	
478	                            nn.Sequential	
479	                                nn.ConcatTable	
480	                                    nn.Sequential	
481	                                        nn.SpatialBatchNormalization	(256,)
482	                                        nn.ReLU	
483	                                        nn.SpatialConvolution	(128, 256, 1, 1)
484	                                        nn.SpatialBatchNormalization	(128,)
485	                                        nn.ReLU	
486	                                        nn.SpatialConvolution	(128, 128, 3, 3)
487	                                        nn.SpatialBatchNormalization	(128,)
488	                                        nn.ReLU	
489	                                        nn.SpatialConvolution	(256, 128, 1, 1)
490	                                    nn.Identity	
491	                                nn.CAddTable	
492	                            nn.Sequential	
493	                                nn.ConcatTable	
494	                                    nn.Sequential	
495	                                        nn.SpatialBatchNormalization	(256,)
496	                                        nn.ReLU	
497	                                        nn.SpatialConvolution	(128, 256, 1, 1)
498	                                        nn.SpatialBatchNormalization	(128,)
499	                                        nn.ReLU	
500	                                        nn.SpatialConvolution	(128, 128, 3, 3)
501	                                        nn.SpatialBatchNormalization	(128,)
502	                                        nn.ReLU	
503	                                        nn.SpatialConvolution	(256, 128, 1, 1)
504	                                    nn.Identity	
505	                                nn.CAddTable	
506	                            nn.Sequential	
507	                                nn.ConcatTable	
508	                                    nn.Sequential	
509	                                        nn.SpatialBatchNormalization	(256,)
510	                                        nn.ReLU	
511	                                        nn.SpatialConvolution	(128, 256, 1, 1)
512	                                        nn.SpatialBatchNormalization	(128,)
513	                                        nn.ReLU	
514	                                        nn.SpatialConvolution	(128, 128, 3, 3)
515	                                        nn.SpatialBatchNormalization	(128,)
516	                                        nn.ReLU	
517	                                        nn.SpatialConvolution	(256, 128, 1, 1)
518	                                    nn.Identity	
519	                                nn.CAddTable	
520	                            nn.Sequential	
521	                                nn.ConcatTable	
522	                                    nn.Sequential	
523	                                        nn.SpatialBatchNormalization	(256,)
524	                                        nn.ReLU	
525	                                        nn.SpatialConvolution	(128, 256, 1, 1)
526	                                        nn.SpatialBatchNormalization	(128,)
527	                                        nn.ReLU	
528	                                        nn.SpatialConvolution	(128, 128, 3, 3)
529	                                        nn.SpatialBatchNormalization	(128,)
530	                                        nn.ReLU	
531	                                        nn.SpatialConvolution	(256, 128, 1, 1)
532	                                    nn.Identity	
533	                                nn.CAddTable	
534	                            nn.Sequential	
535	                                nn.ConcatTable	
536	                                    nn.Sequential	
537	                                        nn.SpatialBatchNormalization	(256,)
538	                                        nn.ReLU	
